case_id,split
airrc_0000,test
airrc_0001,train
airrc_0002,train
airrc_0003,train
airrc_0004,train
airrc_0005,train
airrc_0006,train
airrc_0007,train
airrc_0008,train
airrc_0009,train
airrc_0010,test
airrc_0011,val
airrc_0012,train
airrc_0013,train
airrc_0014,train
airrc_0015,train
airrc_0016,val
airrc_0017,train
airrc_0018,val
airrc_0019,test
airrc_0020,train
airrc_0021,val
airrc_0022,train
airrc_0023,train
airrc_0024,train
airrc_0025,val
airrc_0026,train
airrc_0027,train
airrc_0028,train
airrc_0029,train
airrc_0030,train
airrc_0031,test
airrc_0032,train
airrc_0033,train
airrc_0034,train
airrc_0035,train
airrc_0036,val
airrc_0037,train
airrc_0038,train
airrc_0039,val
airrc_0040,test
airrc_0041,train
airrc_0042,test
airrc_0043,test
airrc_0044,test
airrc_0045,val
airrc_0046,val
airrc_0047,train
airrc_0048,train
airrc_0049,train
airrc_0050,train
airrc_0051,test
airrc_0052,train
airrc_0053,train
airrc_0054,train
airrc_0055,train
airrc_0056,test
airrc_0057,train
airrc_0058,train
airrc_0059,val
airrc_0060,train
airrc_0061,train
airrc_0062,val
airrc_0063,train
airrc_0064,train
airrc_0065,train
airrc_0066,train
airrc_0067,train
airrc_0068,test
airrc_0069,val
airrc_0070,test
airrc_0071,train
airrc_0072,train
airrc_0073,train
airrc_0074,test
airrc_0075,train
airrc_0076,train
airrc_0077,train
airrc_0078,train
airrc_0079,train
airrc_0080,val
airrc_0081,test
airrc_0082,train
airrc_0083,train
airrc_0084,test
airrc_0085,train
airrc_0086,train
airrc_0087,train
airrc_0088,val
airrc_0089,train
airrc_0090,test
airrc_0091,train
airrc_0092,train
airrc_0093,train
airrc_0094,train
airrc_0095,train
airrc_0096,test
airrc_0097,test
airrc_0098,train
airrc_0099,train
airrc_0100,test
airrc_0101,train
airrc_0102,val
airrc_0103,val
airrc_0104,train
airrc_0105,test
airrc_0106,train
airrc_0107,train
airrc_0108,train
airrc_0109,train
airrc_0110,train
airrc_0111,train
airrc_0112,val
airrc_0113,test
airrc_0114,train
airrc_0115,train
airrc_0116,train
airrc_0117,train
airrc_0118,train
airrc_0119,train
airrc_0120,train
airrc_0121,train
airrc_0122,train
airrc_0123,test
airrc_0124,val
airrc_0125,val
airrc_0126,train
airrc_0127,train
airrc_0128,train
airrc_0129,train
airrc_0130,val
airrc_0131,val
airrc_0132,train
airrc_0133,val
airrc_0134,train
airrc_0135,train
airrc_0136,val
airrc_0137,train
airrc_0138,val
airrc_0139,train
airrc_0140,train
airrc_0141,train
airrc_0142,test
airrc_0143,train
airrc_0144,train
airrc_0145,val
airrc_0146,train
airrc_0147,train
airrc_0148,train
airrc_0149,train
airrc_0150,train
airrc_0151,train
airrc_0152,train
airrc_0153,val
airrc_0154,train
airrc_0155,train
airrc_0156,train
airrc_0157,test
airrc_0158,train
airrc_0159,train
airrc_0160,train
airrc_0161,train
airrc_0162,train
airrc_0163,train
airrc_0164,train
airrc_0165,train
airrc_0166,train
airrc_0167,val
airrc_0168,train
airrc_0169,train
airrc_0170,train
airrc_0171,val
airrc_0172,train
airrc_0173,test
airrc_0174,val
airrc_0175,train
airrc_0176,train
airrc_0177,test
airrc_0178,train
airrc_0179,test
airrc_0180,train
airrc_0181,train
airrc_0182,val
airrc_0183,test
airrc_0184,test
airrc_0185,train
airrc_0186,train
airrc_0187,test
airrc_0188,train
airrc_0189,train
airrc_0190,train
airrc_0191,train
airrc_0192,train
airrc_0193,train
airrc_0194,test
airrc_0195,test
airrc_0196,train
airrc_0197,train
airrc_0198,test
airrc_0199,train
airrc_0200,train
airrc_0201,train
airrc_0202,train
airrc_0203,train
airrc_0204,train
airrc_0205,train
airrc_0206,train
airrc_0207,val
airrc_0208,train
airrc_0209,train
airrc_0210,train
airrc_0211,train
airrc_0212,train
airrc_0213,train
airrc_0214,test
airrc_0215,test
airrc_0216,train
airrc_0217,val
airrc_0218,test
airrc_0219,train
airrc_0220,train
airrc_0221,train
airrc_0222,val
airrc_0223,train
airrc_0224,train
airrc_0225,val
airrc_0226,test
airrc_0227,train
airrc_0228,test
airrc_0229,val
airrc_0230,train
airrc_0231,val
airrc_0232,val
airrc_0233,train
airrc_0234,train
airrc_0235,train
airrc_0236,train
airrc_0237,train
airrc_0238,train
airrc_0239,train
airrc_0240,val
airrc_0241,train
airrc_0242,train
airrc_0243,train
airrc_0244,train
airrc_0245,train
airrc_0246,train
airrc_0247,train
airrc_0248,train
airrc_0249,train
airrc_0250,train
airrc_0251,train
airrc_0252,train
airrc_0253,train
